Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunk_index,enhancementTimestamp,enhancementVersion,filename,grade,processing_method,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,total_chunks,worker_id
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_0,0,AM\n教育部审定\n2012， 义秒教育教科书\nSN _ xsxI483I3I3I3IE芝和\nTDILI TUCE\nE年级下上册有 网 E PR\n< SNs\n本 | 上了AIAA\n再和 SN 二加\nSN =所\nNE\nKE sc\nSS一辽站\n本 、， 一汪 TEN 如站 | | { 人 \ - 沁忆 遇 9 1 人四 史站帮相 邮划坟|\n地 ” 齐和 本- IAA 1\nWas 有\nAL - 医本\n5 we 二 4 家后= RS ss 本 Rs\n= ER NS AT\n0 二 ss二人更 xs-\n了 3 人 er 二 SS E 下二 E “富二 本二 和 ee\n有 E SS 评村 必 SSES 对号 -要 :\n人 AS 所， 王E 星于地图出版社交的本、一下二\nBe EN STARRIREGRRESS SS\n可机 ~- -- Te 5 -~ SR : 宛\nRS ss 和 SS 二\nsa 全SR“ ss,402,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,0,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.36879432624113473,0.30000000000000004,0.402,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_1,1,主编朱憩 周瑞祥刘新民责任编辑陈 赛胡志永审 校陈思连玉审 订李亚平区 例一一-一- 洲界如 珊瑚确有 银语这至曾”国界 FREEO 海岸线时 铀机。 未定国界 -运河米 ”金刚石地事分界线、 人=河流.湖泊、瀑布四 讽停火线 rs 时念河国 锦\n----- 地区界 -一一水库 2 锣一一一。 铁路 -mr 冬季冰冻界 @ 向一一一高速公路 wu 陆缘冰 4外圭一一一一航海线一一永久冰谭 wm\n省过-二注这人 2 地汗砍\n@ 首都. 首府\no 主要城市宝。 沁汪 @@ 五焰\nWE 0天然气二\nka。 山峰， 高程 (米) A 铁四 禹\n= 火山 = 外 w 秘二。 主要航空洪四 铅锋 = 铂击。 主要港口 DO 会 4 确石义务教育教科书地理图册七年级下册星球地图出版社 “编制星球地图出版社出版网址， http:yAwwwemapedu.com\n新华书店发行中国人民解放军第一二零五工厂(北京)印刷开本;890毫米x 1240毫米。 1/16 ”印张; 3.25\n2013年1月第?版 ”2021年12月第20次印刷\nISBN 978一/一9471一0942一7\n审图时:; JS(2021)01--164号“，5.31元著作权所有侵权必究社址; 北京市北三环中路69号”邮编， 100088 电话， 010-62011565,568,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,1,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.6169772256728778,0.7999999999999999,0.568,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_2,2,"SCOTT\n7 了了 壕\nCCILLCAALO\n一二所 下曾和”本下必) 本才全看由 站”本章 击)亲-看|羡 ,间妆)/面二1间本) 本 |二重症1 面-恒|页本[ 二和和本二\n序荆图 aaa 计帮二7妆\n|世界十六避宝宝入生生全半天六生生和3 庆生人世界的国家和地区2和ee\n第夫音二状识天浏和2\n第一节亚洲天欧济和1\n第三节非测rreernerenneeeeenrsrnenrrerererrneoosrereeeroesesl2\n第三节美济 senseernereneeeeeeeeeneeooeeeeee16\n案例:大漳济rerersssnsnnnnsrosnreeeneseserernonenoserorooeaeroerarenooos22\n竺所盖子解下医aaeeesaiseassaaaausaaaaaaasaaasesiiesasatg人上人\n关注攻关证wwwsrearawwswaenaorsoaeaneharanunanaaeataarateasapana\n第三节西亚旬ee\n第四节欧洲西事rnreeeee30\n第五节北极地区和南极地区ee34\n第八意走近国家 pe36一48\n第一节日索和eee36\n第二节过天和8\n第三池俄巡斯.seeeeeneeennneennneseeneseeeseronseeeaaerereneseesosneonsti 39\n第四节法国。eeseseeeesneeennnneenneesseneeeeneronsrreonereneoeseoseoesrseeeo\n第五节奠国oseseesesneeennnneenneeeerneneeeneronsereoaerenneoeoeeoonrosnsti人2\n第关节巴末:seeeeeeeneeennnneenneaeeeneeeeenerensereoaerenroeseeoeersssties45\n第七节澳大利亚，人ee\n附录 部分地理和名称中英文对腿表pe,圭三",839,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,2,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.27478042659974905,0.7999999999999999,0.839,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_3,3,"世界地形 LE 页辣\n人 ,AR\n1: 90 000 000 > 进二一 马昌， 党恒\nA 沪ra 则。。 新机从和王电儿 ee P-L\nAR FA =\nre 可 ee 人四 了 -\n9 2 和 > 2 工人 DC 中\n1 3， 庆 Te\n0因介”志人 4 CS 机四 5\n1 -了 7 已 Re es 人年汶 | FE AS\nTY 训了P\n0 - ap\n= | 站 FA 7 这\n1 TEN Re， We 人 【LS杂其站站类于的 ”本一竟 【二加 LA\nNDS和1 和世 “at ET天\nH AR 人生| 了 | 浊汪 0 本\n| ART 吕访) 由区细天再有|全下和寺黄| 3 汪\nAT 证小天细亚毕访二 sa 区所六， wa- es 苘1 四和 5 - 和人 LA 1\n人SR\n人二 . “全 AAA攻大头)\n上 7 oo sy 碳站、国全前羡， 1了地 本皮， 有时 履了 有有 0 5 党网人放 有国 4 Us 人 Tu 上有一 FF 和上 1",428,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,3,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.4594594594594595,0.5,0.428,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_4,4,"人SR\n人二 . “全 AAA攻大头)\n上 7 oo sy 碳站、国全前羡， 1了地 本皮， 有时 履了 有有 0 5 党网人放 有国 4 Us 人 Tu 上有一 FF 和上 1\n上丽人 DREs 于 1 和\n| 0 机上 < 司 “时机是W 人 =\n| 省 [由人AAA和ca人\nES了7 人局 1\n1 人有 商- -二一=一天全1\n国人 3 = 攻本已-人世间宙可/和国信印。 上人(N 六 >让\n7 闪人 2 人NE人站下放卫用Cs二\n| rp 半让南计RN -汪属吓人 (放 7\n本 | 让 ee 年二明 “人 }\n| [塌二 ] 全本 二 1[友 |， | 人中 | 吕? / 充盾由明\n| 站全 上六由遂癌 ,画外 | 中相 胃显 aa\n[ | Co 只 1本贿， -是由 和上Was iT If和 | 配 \码语。| 石卫\n5 8 光 0， | 有一 一一 -er 寺 | 一群 | 省 | 7 = 好了\n一同时此地三各痊 车让\n串- 二元台杠 AT中 :和",436,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,4,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.5686274509803921,0.5,0.436,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_5,5,| 有一 一一 -er 寺 | 一群 | 省 | 7 = 好了\n一同时此地三各痊 车让\n串- 二元台杠 AT中 :和\n1 人， 贡 ES\nTO\nFA 这， = |一了 [\nESCIT -0 攻 sm\n] 恒|本灿 1 科刘多村 | 了和vv Sa 中人 mr 3 | Ver\n1 ] SET 1 ob -\n四全本区 Free +， 1 有和 | N ES | 1 引所- .ar 秆大《=\n有 SS | nt 0 2 本 = ee\n孟莆动人 NU ni轩 :~ 人 .机| 人二 全丰 1 计生 RS |隐要 | | 站人 | SA 宣,268,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,5,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.4157303370786517,0.30000000000000004,0.268,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_6,6,二全丰 1 计生 RS |隐要 | | 站人 | SA 宣\n\玫本人 表至-_ : 最本 7\n是二 1 ss | 基央马尼焉岛让人中生攻请放襄。， |\n本一 、南开板 206多|\n时-一 ss\n的本 人上ES\n陆高与海深 (洲) 二一加\n700 5000 3000 2000 200注地D 20 1000 2000 3000 5000,167,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,6,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.4444444444444444,0.7999999999999999,0.167,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_7,7,世界地形\芍\n180 绵如 由\n\ 巡 < 人基 【二下砚概 5\n- 12015年) 站和\n人和 可人 ET aa TI 本有 检人 本 _情\n> asp 2 ES， 人晤必 RS\n一站和栎本让 Ni EL 二起动半 sw:\n0 1芝忆各将R\n|到。 PP aa 了人， 5 - 到 ] 1 一 WA名坝\n1一人 co 多， eu 必呈国本计交 EN [| 5 人二L ASS\nFA CS RN\n加 2 < EN宾二于人 、\n; ay SENNERAT民字:60 ;\n多光合全站 \癌， 雪、iNN 和\n1 NS 人作且一、吉本和 再 SEE YY -Eee\nNe\nENSYSSSY 人下 下 -者 NE E\n意吉亏 1 1 Er -时全站 Ia 人\nSa 二有 = 志和 1 人全本人 USRSNIE一了”\n式证。 机3 | SA 香 EG 语|\n人本\nee 答二 本 | 4 汪、 |,394,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,7,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.42142857142857143,0.5,0.394,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_8,8,式证。 机3 | SA 香 EG 语|\n人本\nee 答二 本 | 4 汪、 |\n四 :全国到 1 人二 人 | 的\n-过汪有码泪 本\n| 人一扫 人元 于入 2 (徊格由所如向) | - 、 | AAAERS\n站售 并庆 | 心志二一可 | 认 2 了了 1 |\nSR | 四 |\n| - 人多让<一侍 | Vs有妾 | 下 “二， | 人所的全人 yy\nAS 贱|二\nL 亲民下而交加 “有本 | |\n所及 | 本小 “7 /有属J | - 羡 1 是 7\n国严， 三 (于11 和国 1\n| 二多,250,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,8,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.5481927710843374,0.5,0.25,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）_chunk_9,9,所及 | 本小 “7 /有属J | - 羡 1 是 7\n国严， 三 (于11 和国 1\n| 二多\n本 -人\n】 1 | 1 7\n1 | 的\n| ) 0 一 7\n县难委\n[ 六罗\n| ) 4入时\n| 9\n| 5 刁人人 ”0 志\n| 人这汪人 区\nAi | 一和 E 0\n人所 有和 四二= Ra ER 1 ee _ 2 “ 攻一 有\n-AR 和人,173,0,unknown,text-extracted,,2.0,义务教育教科书·地理图册七年级下册（主编_朱翔_周瑞祥_刘新民）,9,2025-07-21T14:23:23.530Z,2.0,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1,七年级,ocr,主编:朱翔&周瑞祥&刘新民,0.46226415094339623,0.30000000000000004,0.173,1,下册,/Users/LeoQin/Documents/GitHub/PDFconvertor/flattened_pdfs/义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.pdf,义务教育教科书·地理图册七年级下册（主编：朱翔&周瑞祥&刘新民）_8bfea0b1.json,地理,151,worker_4
